Elmo txt chart ver 2.0

[File Properties]
Creation Time,2026-04-14 05:32:28
Last Updated,2026-04-14 05:32:28
Resolution,0.001
Sampling Time,0.001
Recording Time,5.001
Trigger Location Index,0

[Chart Properties]
No.,Name,X Linear,Dimension,Min X Scale,Max X Scale,Min Y Scale,Max Y Scale
1,Chart #1,True,1D,1.07659902693723,1.37682449270203,-564358.680457612,8690444.52773893

[Chart Data]
Display No.,X No.,Y No.,Z No.,X Unit,Y Unit,Color,Style,Width,Hex Display,X Hex Display,Z Hex Display,Zero Scale
1,1,2,0,sec,N/A,ff0000ff,Solid,TwoPoint,Dec,Dec,Dec,False
1,1,3,0,sec,N/A,ff007f00,Solid,TwoPoint,Dec,Dec,Dec,False
1,1,4,0,sec,N/A,ffff0000,Solid,TwoPoint,Dec,Dec,Dec,False

[Signal Names]
1,Time (sec),False
2,a01.Position Command (0x607A) [cnt],False
3,a01.Actual Position (0x6064) [cnt],False
4,a01.Target position [cnt],False

[Signals Data Group 1]
1,2,3,4,
0.26,8388608,8384862,8388608,
0.261,8388608,8385169,8388608,
0.262,8388608,8385828,8388608,
0.263,8388608,8386740,8388608,
0.264,8388608,8387838,8388608,
0.265,8388608,8388983,8388608,
0.266,8388600,8390250,8388599.845,
0.267,8388543,8391342,8388542.76,
0.268,8388388,8392040,8388387.815,
0.269,8388086,8392388,8388086.08,
0.27,8387589,8392316,8387588.625,
0.271,8386847,8392072,8386846.52,
0.272,8385811,8391459,8385810.835,
0.273,8384433,8390687,8384432.64,
0.274,8382663,8390032,8382663.005,
0.275,8380453,8389690,8380453,
0.276,8377754,8389709,8377753.695,
0.277,8374516,8389702,8374516.16,
0.278,8370691,8389755,8370691.465,
0.279,8366231,8390072,8366230.68,
0.28,8361085,8390310,8361084.875,
0.281,8355205,8390250,8355205.12,
0.282,8348542,8389806,8348542.485,
0.283,8341048,8388816,8341048.04,
0.284,8332673,8387316,8332672.855,
0.285,8323368,8385364,8323368,
0.286,8313085,8382729,8313084.545,
0.287,8301774,8379282,8301773.56,
0.288,8289386,8374800,8289386.115,
0.289,8275873,8369067,8275873.28,
0.29,8261186,8362142,8261186.125,
0.291,8245276,8354287,8245275.72,
0.292,8228093,8345099,8228093.135,
0.293,8209589,8334922,8209589.44,
0.294,8189716,8323408,8189715.705,
0.295,8168423,8310650,8168423,
0.296,8145662,8296829,8145662.395,
0.297,8121386,8281702,8121385.82763626,
0.298,8095584,8265179,8095584.26576692,
0.299,8068303,8247040,8068302.6783016,
0.3,8039590,8226967,8039589.9952403,
0.301,8009495,8204870,8009495.14658302,
0.302,7978067,8181082,7978067.06232976,
0.303,7945355,8155041,7945354.67248052,
0.304,7911407,8126867,7911406.90703531,
0.305,7876273,8095989,7876272.69599411,
0.306,7840001,8063188,7840000.96935693,
0.307,7802641,8028587,7802640.65712377,
0.308,7764241,7992127,7764240.68929463,
0.309,7724850,7953836,7724849.99586952,
0.31,7684518,7913750,7684517.50684842,
0.311,7643292,7872100,7643292.15223134,
0.312,7601223,7828875,7601222.86201829,
0.313,7558359,7784360,7558358.56620925,
0.314,7514748,7738436,7514748.19480424,
0.315,7470441,7691489,7470440.67780324,
0.316,7425485,7643566,7425484.94520627,
0.317,7379930,7594933,7379929.92701331,
0.318,7333825,7545586,7333824.55322438,
0.319,7287218,7495836,7287217.75383946,
0.32,7240158,7445702,7240158.45885857,
0.321,7192696,7395461,7192695.5982817,
0.322,7144878,7345372,7144878.10210884,
0.323,7096755,7295315,7096754.90034001,
0.324,7048375,7244942,7048374.9229752,
0.325,6999787,7194734,6999787.10001441,
0.326,6951040,7144466,6951040.36145763,
0.327,6902184,7094712,6902183.63730488,
0.328,6853266,7045334,6853265.85755615,
0.329,6804332,6996184,6804332.48166639,
0.33,6755399,6947506,6755398.98166639,
0.331,6706465,6899023,6706465.48166639,
0.332,6657532,6851466,6657531.98166639,
0.333,6608598,6803869,6608598.48166639,
0.334,6559665,6756522,6559664.98166639,
0.335,6510731,6709300,6510731.48166639,
0.336,6461798,6661988,6461797.98166639,
0.337,6412864,6614396,6412864.48166639,
0.338,6363931,6566509,6363930.98166639,
0.339,6314997,6518604,6314997.48166639,
