packet_no,rel_ms,src_ip,src_port,dst_ip,dst_port,payload_len,packet_type,command_id_hex,response_to_packet_no,response_latency_ms,payload_hex,move_position,move_velocity,move_acceleration,move_deceleration,move_jerk,move_direction,move_buffer_mode,fb_handle,fb_status,fb_status_flags,fb_error,read_state_hex,read_state_flags,readstatus_status,readstatus_error,readstatus_axis_error,readstatus_statusword_hex,note
102,84225.700,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,101,620.200,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=84225.700
103,85311.000,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
104,85953.600,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,103,642.600,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=85953.600
105,87035.200,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
106,87655.000,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,105,619.800,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=87655.000
107,88720.400,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
108,89341.600,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,107,621.200,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=89341.600
109,90491.900,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
110,91140.300,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,109,648.400,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=91140.300
111,92304.400,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
112,93011.900,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,111,707.500,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=93011.900
113,94151.100,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
114,94802.700,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,113,651.600,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=94802.700
115,95914.400,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
116,96542.300,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,115,627.900,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=96542.300
117,97630.200,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
118,98280.800,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,117,650.600,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=98280.800
119,99365.600,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
120,99989.800,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,119,624.200,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=99989.800
121,101101.500,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
122,102632.800,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,121,1531.300,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=102632.800
123,103842.100,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
124,104519.700,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,123,677.600,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=104519.700
125,105678.900,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
126,106518.000,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,125,839.100,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=106518.000
127,107696.900,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
128,108354.600,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,127,657.700,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=108354.600
129,109583.300,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
130,110265.700,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,129,682.400,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=110265.700
131,111416.100,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
132,112130.700,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,131,714.600,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=112130.700
133,113275.200,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
134,113966.700,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,133,691.500,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=113966.700
135,115121.800,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
136,115804.000,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,135,682.200,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=115804.000
137,116943.900,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
138,117663.400,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,137,719.500,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=117663.400
139,118796.400,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
